name,team,position,std,std_rank,half_ppr,half_ppr_rank,ppr,ppr_rank,player_id,BYE
Baker Mayfield,TB,QB,308.0,9,308.0,9,308.0,9,4892,9
Bo Nix,DEN,QB,303.0,8,303.0,8,303.0,8,11563,12
Brock Purdy,SF,QB,296.0,16,296.0,17,296.0,17,8183,14
Bryce Young,CAR,QB,0.0,0,262.0,22,262.0,22,9228,14
C.J. Stroud,HOU,QB,277.0,19,277.0,19,277.0,19,9758,6
Caleb Williams,CHI,QB,293.0,11,293.0,11,293.0,11,11560,5
Dak Prescott,DAL,QB,278.0,12,278.0,12,278.0,12,3294,10
Drake Maye,NE,QB,281.0,15,281.0,15,281.0,15,11564,14
J.J. McCarthy,MIN,QB,283.0,21,283.0,21,283.0,21,11565,6
Jalen Hurts,PHI,QB,361.0,4,361.0,4,361.0,4,6904,9
Jared Goff,DET,QB,281.0,17,281.0,17,281.0,16,3163,8
Jayden Daniels,WAS,QB,362.0,2,362.0,2,362.0,2,11566,12
Joe Burrow,CIN,QB,345.0,5,345.0,5,345.0,5,6770,10
Jordan Love,GB,QB,272.0,18,272.0,18,272.0,18,6804,5
Josh Allen,BUF,QB,356.0,3,356.0,3,356.0,3,4984,7
Justin Fields,NYJ,QB,295.0,13,295.0,13,295.0,13,7591,9
Justin Herbert,LAC,QB,291.0,10,291.0,10,291.0,10,6797,12
Kyler Murray,ARI,QB,301.0,7,301.0,7,301.0,7,5849,8
Lamar Jackson,BAL,QB,361.0,1,361.0,1,361.0,1,4881,7
Patrick Mahomes,KC,QB,318.0,6,318.0,6,318.0,6,4046,10
Trevor Lawrence,JAC,QB,285.0,14,285.0,14,285.0,14,7523,8
Tua Tagovailoa,MIA,QB,269.0,20,269.0,20,269.0,20,6768,12
