name,team,position,std,std_rank,half_ppr,half_ppr_rank,ppr,ppr_rank,player_id,BYE
A.J. Brown,PHI,WR,174.0,8,216.0,8,258.0,9,5859,9
Aaron Jones,MIN,RB,162.0,23,183.0,21,205.0,21,4199,6
Adam Thielen,CAR,WR,92.0,73,124.0,74,156.0,73,1689,14
Alec Pierce,IND,WR,72.0,75,88.0,76,104.0,77,8142,11
Alvin Kamara,NO,RB,177.0,19,210.0,13,243.0,9,4035,11
Amari Cooper,UNS,WR,84.0,55,108.0,56,131.0,56,2309,N/A
Amon-Ra St. Brown,DET,WR,157.0,11,210.0,9,263.0,8,7547,8
Ashton Jeanty,LVR,RB,206.0,7,229.0,7,253.0,5,12527,8
Austin Ekeler,WAS,RB,101.0,41,122.0,39,144.0,37,4663,12
Baker Mayfield,TB,QB,308.0,9,308.0,9,308.0,9,4892,9
Bhayshul Tuten,JAC,RB,59.0,45,67.0,46,76.0,48,12490,8.0
Bijan Robinson,ATL,RB,242.0,3,269.0,2,296.0,1,9509,5.0
Bo Nix,DEN,QB,303.0,8,303.0,8,303.0,8,11563,12.0
Brandon Aiyuk,SF,WR,96.0,47,121.0,50,145.0,52,6803,14.0
Breece Hall,NYJ,RB,188.0,12,210.0,12,233.0,11,8155,9.0
Brenton Strange,JAC,TE,69.0,27,94.0,27,120.0,26,9480,8.0
Brock Bowers,LVR,TE,141.0,1,191.0,1,242.0,1,11604,8.0
Brock Purdy,SF,QB,296.0,16,296.0,17,296.0,17,8183,14.0
Bryce Young,CAR,QB,0.0,0,262.0,22,262.0,22,9228,14.0
Bucky Irving,TB,RB,208.0,14,232.0,14,256.0,13,11584,9.0
C.J. Stroud,HOU,QB,277.0,19,277.0,19,277.0,19,9758,6.0
Cade Otton,TB,TE,79.0,23,106.0,23,133.0,22,8111,9.0
Caleb Williams,CHI,QB,293.0,11,293.0,11,293.0,11,11560,5.0
Calvin Ridley,TEN,WR,128.0,36,162.0,34,196.0,33,4981,10.0
